26.04.2021	13:21
Amplitude: 2,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
 10,000             13,535            179,802
 11,220             13,535            179,779
 12,589             13,536            179,753
 14,125             13,536            179,730
 15,849             13,537            179,703
 17,783             13,538            179,675
 19,953             13,538            179,644
 22,387             13,538            179,607
 25,119             13,538            179,566
 28,184             13,537            179,520
 31,623             13,536            179,469
 35,481             13,533            179,411
 39,811             13,528            179,347
 44,668             13,522            179,276
 50,119             13,515            179,195
 56,234             13,508            179,105
 63,096             13,502            178,987
 70,795             13,501            178,909
 79,433             13,500            178,770
 89,125             13,499            178,621
100,000             13,498            178,460
112,202             13,497            178,267
125,893             13,496            177,995
141,254             13,494            177,748
158,489             13,491            177,569
177,828             13,489            177,200
199,526             13,486            176,856
223,872             13,481            176,564
251,189             13,477            176,165
281,838             13,471            175,700
316,228             13,463            175,184
354,813             13,454            174,497
398,107             13,443            173,957
446,684             13,430            173,094
501,187             13,413            172,430
562,341             13,393            171,345
630,957             13,367            170,325
707,946             13,336            169,170
794,328             13,296            167,884
891,251             13,249            166,481
1000,000             13,190            165,236
1122,018             13,118            163,189
1258,925             13,030            161,283
1412,538             12,921            159,175
1584,893             12,791            156,906
1778,279             12,631            154,417
1995,262             12,440            151,737
2238,721             12,216            148,900
2511,886             11,949            145,867
2818,383             11,638            142,684
3162,278             11,277            139,361
3548,134             10,863            135,924
3981,072             10,398            132,426
4466,836              9,884            128,959
5011,872              9,314            125,460
5623,413              8,687            121,953
6309,573              8,015            118,528
7079,458              7,297            115,181
7943,282              6,552            112,022
8912,509              5,753            108,809
10000,000              4,924            103,660
