26.04.2021	13:41
Amplitude: 2,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
 10,000              2,645            -109,426
 11,220              3,528            -111,219
 12,589              4,392            -113,232
 14,125              5,226            -115,409
 15,849              6,033            -117,763
 17,783              6,811            -120,300
 19,953              7,544            -122,975
 22,387              8,233            -125,773
 25,119              8,878            -128,696
 28,184              9,473            -131,704
 31,623             10,017            -134,763
 35,481             10,508            -137,851
 39,811             10,945            -140,930
 44,668             11,330            -143,963
 50,119             11,666            -146,926
 56,234             11,957            -149,783
 63,096             12,206            -152,547
 70,795             12,421            -155,155
 79,433             12,603            -157,630
 89,125             12,756            -159,956
100,000             12,884            -162,131
112,202             12,991            -164,136
125,893             13,079            -166,124
141,254             13,151            -167,859
158,489             13,210            -169,614
177,828             13,258            -171,128
199,526             13,296            -172,630
223,872             13,326            -174,079
251,189             13,349            -175,499
281,838             13,366            -176,794
316,228             13,378            -178,077
354,813             13,384            -179,464
398,107             13,385            179,171
446,684             13,382            177,914
501,187             13,373            176,584
562,341             13,359            175,169
630,957             13,338            173,728
707,946             13,311            172,188
794,328             13,279            170,505
891,251             13,228            168,835
1000,000             13,170            167,310
1122,018             13,099            165,009
1258,925             13,010            162,872
1412,538             12,901            160,562
1584,893             12,769            158,106
1778,279             12,608            155,448
1995,262             12,415            152,634
2238,721             12,187            149,655
2511,886             11,918            146,514
2818,383             11,603            143,233
3162,278             11,239            139,825
3548,134             10,821            136,310
3981,072             10,352            132,777
4466,836              9,837            129,237
5011,872              9,266            125,698
5623,413              8,636            122,160
6309,573              7,961            118,702
7079,458              7,241            115,331
7943,282              6,500            112,102
8912,509              5,698            108,934
10000,000              4,876            105,227
